hour	tweetvolume
0	6
1	0
2	3
3	7
4	5
5	3
6	3
7	1
8	0
9	0
10	0
11	0
12	0
13	1
14	9
15	16
16	34
17	1
18	3
19	3
20	3
21	1
22	1
23	2
