hour	tweetvolume
0	1026
1	1118
2	1237
3	1289
4	844
5	513
6	347
7	285
8	244
9	364
10	348
11	363
12	583
13	962
14	1480
15	1513
16	1518
17	1266
18	869
19	455
20	707
21	647
22	580
23	593
