hour	tweetvolume
0	250
1	197
2	379
3	281
4	91
5	84
6	90
7	64
8	36
9	9
10	42
11	32
12	98
13	138
14	277
15	390
16	185
17	336
18	479
19	636
20	535
21	301
22	285
23	328
