hour	tweetvolume
0	0
1	0
2	6
3	0
4	0
5	2
6	0
7	1
8	0
9	0
10	2
11	1
12	2
13	3
14	4
15	7
16	0
17	24
18	37
19	6
20	5
21	2
22	3
23	2
