hour	tweetvolume
0	448
1	423
2	229
3	181
4	164
5	36
6	44
7	30
8	45
9	21
10	39
11	45
12	58
13	92
14	245
15	322
16	115
17	230
18	309
19	583
20	746
21	296
22	360
23	585
