hour	tweetvolume
0	2786
1	1874
2	1364
3	1726
4	926
5	649
6	493
7	398
8	304
9	181
10	275
11	318
12	543
13	732
14	1531
15	1658
16	1257
17	1586
18	1480
19	1539
20	1380
21	1059
22	1112
23	1918
