hour	tweetvolume
0	21
1	10
2	7
3	52
4	16
5	5
6	1
7	0
8	4
9	2
10	3
11	2
12	0
13	12
14	15
15	16
16	32
17	42
18	23
19	22
20	25
21	26
22	23
23	17
