hour	tweetvolume
0	117
1	58
2	73
3	69
4	66
5	36
6	41
7	11
8	14
9	2
10	15
11	32
12	25
13	21
14	62
15	123
16	133
17	63
18	58
19	51
20	64
21	71
22	44
23	44
