hour	tweetvolume
0	145
1	188
2	136
3	312
4	135
5	111
6	36
7	29
8	17
9	22
10	26
11	16
12	35
13	109
14	122
15	114
16	249
17	488
18	355
19	974
20	1369
21	803
22	800
23	454
