hour	tweetvolume
0	177
1	82
2	55
3	104
4	58
5	11
6	20
7	27
8	6
9	4
10	16
11	8
12	9
13	18
14	59
15	83
16	93
17	101
18	40
19	75
20	51
21	59
22	73
23	83
