hour	tweetvolume
0	0
1	6
2	0
3	3
4	5
5	2
6	2
7	3
8	1
9	2
10	3
11	1
12	0
13	0
14	10
15	17
16	34
17	2
18	3
19	2
20	2
21	1
22	2
23	1
