hour	tweetvolume
0	37
1	62
2	16
3	17
4	19
5	9
6	3
7	4
8	4
9	3
10	10
11	9
12	3
13	5
14	18
15	31
16	10
17	6
18	10
19	9
20	6
21	4
22	16
23	15
