hour	tweetvolume
0	616
1	773
2	898
3	815
4	574
5	361
6	319
7	167
8	163
9	133
10	154
11	268
12	353
13	537
14	550
15	1286
16	1620
17	2154
18	2296
19	2308
20	1739
21	2119
22	2488
23	1662
