hour	tweetvolume
0	1365
1	1392
2	1640
3	1677
4	1047
5	642
6	495
7	357
8	322
9	384
10	435
11	453
12	733
13	1132
14	1859
15	2052
16	1929
17	1729
18	1544
19	1188
20	1381
21	1015
22	931
23	993
