hour	tweetvolume
0	2169
1	1411
2	1051
3	1386
4	686
5	568
6	395
7	318
8	228
9	159
10	215
11	259
12	475
13	614
14	1191
15	1241
16	943
17	1244
18	1039
19	761
20	522
21	664
22	667
23	1203
