hour	tweetvolume
0	48
1	95
2	42
3	54
4	21
5	25
6	8
7	8
8	16
9	6
10	6
11	20
12	39
13	48
14	37
15	54
16	57
17	126
18	188
19	147
20	176
21	127
22	136
23	162
