hour	tweetvolume
0	28
1	9
2	55
3	23
4	8
5	9
6	10
7	6
8	10
9	2
10	3
11	4
12	14
13	17
14	21
15	33
16	11
17	8
18	12
19	4
20	6
21	15
22	9
23	8
